Title,Poem,Poet,Tags,Cluster
For Robert Hayden,Did your father come home after fighting\n\nthrough the week at work? Did the sweat change\n\nto salt in his ears? Was that bitter white\n\n \n\ngrain the only music he’d hear? Is this why\n\nyou were quiet when other poets sang\n\nof the black man’s beauty? Is this why\n\n \n\nyou choked on the tonsil of Negro Duty?\n\nWere there as many offices for pain\n\nas love? Should a black man never be shy?\n\n \n\nWas your father a mountain twenty\n\nshovels couldn’t bury? Was he a train\n\nleaving a lone column of smoke? Was he\n\n \n\na black magnolia singing at your feet?\n\nWas he a blackjack smashed against your throat?,Terrance Hayes,"Relationships,Family & Ancestors,Social Commentaries,Class,Race & Ethnicity",0
Jumping Jack: The M16 Mines,"In standing position\n\nwith arms to the side,\n\n \n\njump while\n\nspreading the legs\n\nand lift arms\n\nabove the head.\n\n \n\nJump back into\n\nstanding position\n\nand up again,\n\nspreading the legs\n\nand lifting the arms\n\nabove the head.\n\n \n\nRepeat\n\n \n\nWhen a M16 landmine\n\nis triggered, it will\n\nspring into the air\n\nand explode with\n\na capacity to level\n\neverything in a\n\n150 metre radius.\n\n \n\nDeadly shrapnel\n\nspreading\n\na further 350 metres.\n\n \n\nMetal casings\n\nfrom an unexploded\n\nbomb can fetch\n\n25,000 Vietnamese dong\n\nor $1\n\n \n\nfor a poor family\n\nin Vietnam.\n\n \n\nMen comb\n\nthe forests\n\nand beaches\n\nof Quang Tri\n\nlooking for the metal\n\nthat will feed their family,\n\nrisking their lives.\n\n \n\nChildren working\n\nin the fields think it’s\n\na toy they’ve found.\n\n \n\nNguyen was hoeing\n\na small piece of land\n\nhis parents gave him\n\nwhen an unexploded\n\nU.S. military bomb\n\nwas triggered\n\nand blew off both\n\nhis hands.",Teresa Mei Chuc,"Social Commentaries,History & Politics,War & Conflict",1
Pencil,"""In spite of everything I shall rise again: I will take up my pencil, which I have forsaken in my great discouragement, and I will go on with my drawing.""—Vincent Van Gogh\n\n \n\n\n\n\n\n\n\nA missile is shaped like a pencil—\n\nits long, slender body and pointed\n\nend creates history.\n\n \n\nA girl walking down the street\n\na few steps ahead of her sister and friend,\n\ntwo medics who were trying to help\n\ninjured people, the parked ambulance—\n\nall were annihilated by the same weapon.\n\n \n\nAbove, drones—silent, unmanned planes.\n\nA metal, predatory bird that shoots a missile\n\nwith precision, identifying the colors of a shirt,\n\nthe features on a face—the shape of a nose,\n\nthe color and length of a mustache.\n\n \n\nIn a room far away, in another country, a man\n\nsits at a desk and looks at a screen; he strokes\n\nhis thick, dark mustache as he carefully\n\ncontemplates, then pushes a button.\n\n \n\nThere is a charred hole in the ground\n\nwhere the girl once stood.\n\n \n\nThere are pencils that write and erase,\n\nwrite and erase, so that there is nothing\n\nto be read on the page. The page blank\n\nas the desert sky, blank as the smooth shell of a drone.\n\n \n\nThere is a family drinking mint tea\n\nin a living room.\n\nThe man holds a cup to his lips,\n\nthe glass touches his mustache.\n\nA silent bird hovers above.\n\nIn a split second, everyone is dead,\n\nthe house is in rubbles—arms, legs,\n\nsplattered organs among broken concrete.\n\n \n\nSoon, there will be no trace.  ",Teresa Mei Chuc,"Social Commentaries,War & Conflict",3
Rainforest,"I close my eyes so that I can see it.\n\nWhat we so freely eliminate. Who is\n\n \n\nnot guilty of it? We reek of paper.\n\nEverywhere we go is paper. Our\n\n \n\nhands are stained with paper.\n\nWalls. What echoes from our walls.\n\n \n\nThe sweet whisper of rainforest—\n\neven the name makes the sound of\n\n \n\nrushing water or perhaps it’s a ghost\n\nthat haunts us. They say the dead\n\n \n\nthat did not die a peaceful death are\n\ndoomed forever to wander the earth.\n\n \n\nBut perhaps this earth is for them\n\nalready a cemetery—stacks and\n\n \n\nstacks of flesh on a desk. Which\n\none belongs to which tree?\n\n \n\nAlready, we’ve traded oxygen for\n\nso much.",Teresa Mei Chuc,"Nature,Trees & Flowers",0
Names,"I am tired of having five different names;                      -\n\nHaving to change them when I enter\n\n \n\nA new country or take on a new life. My\n\nFirst name is my truest, I suppose, but I\n\n \n\nNever use it and nobody calls me by this Vietnamese\n\nName though it is on my birth certificate—\n\n \n\nTue My Chuc. It makes the sound of a twang of a\n\nString pulled. My parents tell me my name in Cantonese\n\n \n\nis Chuc Mei Wai. Three soft bird chirps and they call\n\nme Ah Wai. Shortly after I moved to the U.S., I became\n\n \n\nTeresa My Chuc, then Teresa Mei Chuc. “Teresa” is the sound\n\nWater makes when one is washing one’s hands. After my first\n\n \n\nMarriage, my name was Teresa Chuc Prokopiev.\n\nAfter my second marriage, my name was Teresa Chuc Dowell.\n\n \n\nNow I am back to Teresa Mei Chuc, but I want to go way back.\n\nReclaim that name once given and lost so quickly in its attempt\n\n \n\nto become someone that would fit in. Who is Tue My Chuc?\n\nI don’t really know. I was never really her and her birthday\n\n \n\non March 16, I never celebrate because it’s not my real birthday\n\nthough it is on my birth certificate. My birthday is on January 26,\n\n \n\nreally, but I have to pretend that it’s on March 16\n\nbecause my mother was late registering me after the war.\n\n \n\nOr it’s in December, the date changing every year according to\n\nthe lunar calendar—this is the one my parents celebrate\n\n \n\nbecause it’s my Chinese birthday. All these names\n\nand birthdays make me dizzy. Sometimes I just don’t feel like a\n\n \n\nTeresa anymore; Tue (pronounced Twe) isn’t so embarrassing.\n\nA fruit learns to love its juice. Anyways, I’d like to be string...\n\n \n\nresonating. Pulled back tensely like a bow\n\n \n\nThen reverberate in the arrow’s release straight for the heart.",Teresa Mei Chuc,"Living,Life Choices",8
Hoping to Hear from a Former Friend,"Is it you on the other end of the line\n\n     hesitant to speak to me, pausing for a moment\n\nto register my hello so you know my number\n\n     stayed the same, my last name remains mine?\n\nThough my voice isn’t young as when we last spoke,\n\n     don’t you hear a familiar timbre?\n\nStill you hesitate so as not to startle me\n\n     after all this time. Dots string out like an ellipsis\n\nin the endless sentence of your absence.\n\n     I hear static-filled ticking, then\n\na friendly stranger mispronounces my name.\n\n     Recognizing a pitch to sell something\n\nand feeling foolish, I hang up quickly.\n\n     Won’t you ever break your long silence?\n\nSorrow and anger keep my line open to you.\n\n ",Margaret Hasse,"Living,Sorrow & Grieving,Relationships,Friends & Enemies",0
"Come Home, Our Sons","Come home, our sons, young drivers,\n\ntell us you’re safe, not detained again\n\nby police for your dark color,\n\nsprocketed hair and a crime\n\nyou didn’t commit.\n\nMaybe your car’s the wrong make\n\nor rusty in a neighborhood\n\nwhere cars park in garages at night.\n\n \n\nOnce, when you saw a squad car\n\nyou remembered Officer Smiley\n\nand his dog that did tricks\n\nin read-aloud books at J.J. Hill School.\n\nNow, as you reach for your license\n\nwith shaking hands, tension raises\n\nthe chance something will go wrong.\n\n \n\nThis poem is for you, sons,\n\nand for everyone who is afraid—\n\ncitizens of police, police of citizens.\n\nIt’s for Philando Castile,\n\na black school lunch supervisor\n\nin an inner city school\n\nwho memorized children’s names\n\nand their food allergies.\n\nAnd it’s for the policeman\n\nwho stopped a car with a damaged taillight.\n\nAfter he used his gun, his voice broke\n\nlike a frightened child’s.\n\n \n\nCome home, sons, to mothers like me,\n\nalert at night waiting for car lights\n\nto beam in front of our house,\n\nfor the car to belong to our sons,\n\nand our sons\n\nto still belong to the world.",Margaret Hasse,"Living,Parenthood,Social Commentaries,Crime & Punishment,Race & Ethnicity",0
Day after Daylight Savings,"Blue numbers on my bedside clock\n\ntell I forgot to change the hour.\n\nThis sets routines on haywire.\n\n \n\nLike a domestic goat staked\n\nto its circle of earth.\n\nI don’t do well untethered.\n\n \n\nI have no hunger for early dinner,\n\nbecome confused by the sound\n\nof children who seem out\n\n \n\ntoo late for a school night.\n\nThey’ve found an extra helping\n\nof daylight to romp on new grass\n\n \n\nand can’t contain themselves,\n\nstrip off jackets, scatter\n\nlike a rag of ponies.\n\n \n\nWhatever time says,\n\ntheir joy insists\n\non springing forward.",Margaret Hasse,"Living,Time & Brevity",0
After His Diagnosis,"Weeks after ice-out,\n\nlast fall’s leaves\n\nmake a pathway\n\nto the lake, radiant blue\n\nand still deathly cold.\n\n \n\nI press my hot forehead\n\nto the window,\n\nsmudging it. Blow\n\nand the glass steams.\n\nAs if looking at a photo\n\nthrough parchment,\n\nI’m detached,\n\nthe way I saw his body\n\nin the CAT scan\n\nfrom a foggy distance.\n\n \n\nI’d like to open the window,\n\nrelease a wounded bird\n\nnursed to health.\n\nWiping the glass\n\nwith my sleeve\n\nI see white pelicans\n\nwheel and flash in the sky.",Margaret Hasse,"Living,Health & Illness,Love,Heartache & Loss",1
Be More Like Sputnik Monroe,"It's hard to be humble when you're 235 pounds of twisted steel and sex appeal with a body women love and men fear. —Sputnik Monroe\n\n\n\n\n\n\n\nWhen my father died, he left me a trove\n\n           of video tapes, a warped memorial\n\nfor those men he watched with my mother\n\n           before she left for parts unknown,\n\nfor those fights he relived once he was laid\n\n           off from the plane yards. We watched\n\nmen like Sputnik Monroe bleed the hard way,\n\n           shook our fists as he broke rules\n\nagainst guys who were easier to cheer.\n\n           He was a bad Elvis, greased-back\n\nhair with a shock of white, Sputnik Monroe\n\n           mixed it up everywhere, a rodeo\n\nfistfight, a henhouse tornado. My mother\n\n           picked a fight in an Idaho truck stop\n\nonce, stabbed a man’s chest with her middle\n\n           finger, then stepped to one side\n\nso my father could fight him in the parking lot.\n\n           Afterwards, my mother was silent\n\nall the way back to Seattle, her disgust\n\n           with him—the way he wrapped his arm\n\naround her shoulder, guided her to the car,\n\n           and sped back to the freeway—hanging\n\nbetween them from that point forward.\n\n           Sputnik Monroe clobbered men\n\nwherever he went, sneered at those fists\n\n           raised against him in Memphis.\n\nSome nights, as my wife sleeps upstairs,\n\n           I watch my father’s video tapes and\n\nimagine what I would have done that day\n\n           if I knew that my marriage depended\n\non what I did with my hands.",W. Todd Kaneko,"Love,Realistic & Complicated,Relationships,Family & Ancestors,Men & Women",0
Selected Legends of Andre the Giant,"13.\n\nAfter the dinosaurs fell\n\nasleep, after those terrible lizards\n\nbegan their slow decay into mythology,\n\nAndre the Giant was there to cradle\n\ntheir bodies in his soft hands and weep.\n\n \n\n            24.\n\nAndre the Giant wrestled the Earth\n\ninto a globe, carved his name into the ocean\n\nfloor with his pinky to remind the whales\n\nwho taught them to sing.\n\n \n\n            32.\n\nAndre the Giant was a village.\n\nThen he became a dragon.\n\nThen he became an army.\n\nThen he became a king.\n\nNow, he is the wind.\n\n \n\n            40.\n\nA man can’t bodyslam Andre the Giant\n\nunless he’s worthy of slaying a monster, unless\n\nthe giant decides it’s time to lie down.\n\n \n\n            58.\n\nAndre the Giant stole fire from Heaven,\n\nhid it in his mouth, fed it to monkeys\n\none lick at a time until they learned\n\nto pronounce his name.\n\n \n\n            67.\n\nBefore there were boys with magic\n\nbeanstalks, with slingshots or singing\n\nswords, Andre the Giant brawled\n\nwith sooty angels, volcanoes spouting\n\nfrom where he buried their hearts\n\n \n\n            75. \n\nAndre the Giant scaled the Empire\n\nState Building with Marilyn Monroe\n\nin one hand, Cleopatra in the other.\n\nThey marveled at how small we are.\n\n \n\n            81.\n\nAndre the Giant once cracked the sky’s ribs.\n\nThen he was thunder churning like trout.\n\nThen he was an avalanche of fists and knees.\n\nThen he was a fire burning through the forest.\n\nThen he was a tidal wave seething offshore.\n\nNow, he will not be a metaphor.\n\n \n\n            93.\n\nWhen Andre the Giant pitched a man\n\nover the top rope and out into the crowd,\n\nhe aimed at the moon.\n\n \n\n            100.\n\nA man never tells a lie, always treats a promise\n\nlike his mother’s name. Andre the Giant\n\nonce threw a silver dollar across the Potomac,\n\nhit a buffalo in the eye and killed it as it grazed.\n\n \n\n            116.\n\nAndre the Giant drank three bottles of whiskey\n\nand grappled with the Devil in a bingo hall\n\nin Memphis. Then he invented the blues.\n\n \n\n            125.\n\nOn television, Andre the Giant grinned\n\nwith a mouthful of shark’s teeth. He devoured\n\nmortal men ten-at-a-time, laughed and spit\n\ntheir bones into our living rooms.\n\n \n\n            137.\n\nAndre the Giant was a Frenchman.\n\nThen he became an ogre.\n\nThen he became a movie star.\n\nNow, he is the constellations.\n\nAll of them.",W. Todd Kaneko,"Mythology & Folklore,Fairy-tales & Legends",8
You Cannot Stand Against Giant Baba,"1.\n\nA man can stand with both feet touching\n\nthe ground until his legs no longer reach\n\nthat far, until the ground disappears.\n\n \n\n            2.\n\nGiant Baba stands six feet ten inches tall, taller\n\nin Japan. It doesn’t matter how tall you are.\n\n            3.\n\nA man can hold a woman, can’t stand to lose\n\nher to the heart’s wreckage. His body will fall\n\napart one day—a rock crab’s chassis stripped\n\nclean by seagulls, a dandelion gone to seed.\n\n \n\n           4.\n\nGiant Baba stands over seven feet tall.\n\nWhen he lifts you over his head, you will be\n\neight and a half feet above the ground.\n\n \n\n            5.\n\nA man can stand for anything when seen\n\nfrom below—fatherhood, majesty, satisfaction\n\nafter conquest. In the end all men are seen\n\nfrom above—patch of lawn, chunk of stone.\n\n \n\n            6.\n\nGiant Baba towers above your house,\n\ndangles you by the ankle. Your life\n\nlooks so small from the sky.\n\n \n\n            7.\n\nA man and a woman can wrestle together\n\nin the same bed. A man and a woman\n\nand a marriage can brawl all night.\n\n \n\n            8.\n\nGiant Baba looms dark against the stars, back\n\nblotting out the Milky Way, arms cradling you\n\nand your family history. Listen to his mammoth\n\nheartbeat, war drum, earthquake. Just listen.\n\n \n\n            9.\n\nA man can stand naked in a foreign country,\n\ncan search for meaning in strange tongues. He tries\n\nto find himself in stories about famous battles,\n\nabout giants. It doesn’t matter where he stands.\n\n \n\n            10.\n\nGiant Baba’s body is made of girders\n\nand mastodon bones. When you stand outside\n\nto look at your house from new angles,\n\nwhen you think of how your father died,\n\nthe giant will be there to catch you.\n\n ",W. Todd Kaneko,"Relationships,Family & Ancestors,Men & Women,Mythology & Folklore,Fairy-tales & Legends",3
Returning,"When I open the door\n\nand reach to the light switch\n\nthe world opens as it did each time.\n\n \n\nThe garlic jar on the ledge,\n\nthe ceramic cup holding\n\ncheese cutters and paring knives.\n\n \n\nOutside a branch\n\nfrom the ash tree\n\nworries the window.\n\n \n\nIt was a place where I knew\n\nthe drawer pulls, the feel of steps\n\nto the basement, the smell of cool cement.\n\n \n\nIf I open the middle cabinet,\n\nthe linen is there as you left it,\n\nwell-ordered, none of it fine.\n\n ",Tami Haaland,,0
Laundress,"Given over to love,\n\nshe un-balls the socks,\n\n \n\nlets fall debris of days,\n\nleaf litter, sand grain,\n\n \n\nslub of some sticky substance,\n\npicks it all for the sake\n\n \n\nof the stainless tub\n\nof the gleaming new front loader.\n\n \n\nGiven over to love long ago, when her own\n\nexasperated moan bounced off\n\n \n\nthe quaint speckled enamel\n\nof the top loader\n\n \n\nvowing: she'd do this always and well.\n\nShe fell in love then, she fell in line—\n\n \n\nin a march of millions, you pair them,\n\ntwo by two, you marry the socks.\n\n ",Heid E. Erdrich,,4
Naming the Heartbeats,"I've become the person who says Darling, who says Sugarpie,     Honeybunch, Snugglebear—and that’s just for my children.     What I call my husband is unprintable. You’re welcome. I am     his sweetheart, and finally, finally—I answer to his call and his     alone. Animals are named for people, places, or perhaps a little     Latin. Plants invite names for colors or plant-parts. When you     get a group of heartbeats together you get names that call out     into the evening’s first radiance of planets: a quiver of cobras,     a maelstrom of salamanders, an audience of squid, or an ostentation     of peacocks. But what is it called when creatures on this earth curl     and sleep, when shadows of moons we don’t yet know brush across     our faces? And what is the name for the movement we make when     we wake, swiping hand or claw or wing across our face, like trying     to remember a path or a river we’ve only visited in our dreams.    ",Aimee Nezhukumatathil,,5
"When Lucille Bogan Sings ""Shave \'Em Dry""","I blush quicker than a school of blue jack mackerel\n\narranging itself into an orb of dazzle to avoid      \n\nnips and gulps from the dolphins who’ve been silently     trailing them, waiting for them to relax. When I hear      \n\nher growl—her scratch-thirst and giggle when she drops     swear words pressed to wax—I can’t even look him\n\n      in the eye when I ask him to give it a good listen     with me. But he does, ever patient, and we both get\n\n      a light bless of sweat on, a bright address that still maps     us to each other after all this time. When I read him      \n\nthe lyrics, the pink of my cheeks is like the pink        of an orchid mantis. Just when you least expect it,\n\n      the pretend flower will reach out and snatch a butterfly     from the air. When I say flower I mean how her song\n\n      blooms in the cicada-electric Mississippi night. When I say      pink I mean nectar I mean a long kiss good and sweet.    ",Aimee Nezhukumatathil,"Love,Romantic Love,Arts & Sciences,Music",4
On Listening to Your Teacher Take Attendance,"Breathe deep even if it means you wrinkle     your nose from the fake-lemon antiseptic\n\n      of the mopped floors and wiped-down     doorknobs. The freshly soaped necks\n\n      and armpits. Your teacher means well,     even if he butchers your name like\n\n      he has a bloody sausage casing stuck     between his teeth, handprints\n\n      on his white, sloppy apron. And when     everyone turns around to check out\n\n      your face, no need to fush red and warm.     Just picture all the eyes as if your classroom\n\n      is one big scallop with its dozens of icy blues     and you will remember that winter your family      \n\ntook you to the China Sea and you sank     your face in it to gaze at baby clams and sea stars      \n\nthe size of your outstretched hand. And when     all those necks start to crane, try not to forget      \n\nsomeone once lathered their bodies, once patted them     dry with a fluffy towel after a bath, set out their clothes      \n\nfor the first day of school. Think of their pencil cases     from third grade, full of sharp pencils, a pink pearl eraser.      \n\nThink of their handheld pencil sharpener and its tiny blade.     ",Aimee Nezhukumatathil,"Activities,School & Learning",0
Cardinal Sin,"I don't love my son\n\nthe way I thought\n\nmy mother should love me\n\nso I handed him a shoe box\n\nto put the dead bird in\n\nand shut the door. \n\nIt was a mistake, \n\nnot to be sure he buried it, \n\nnot to grab the children\n\ngathered at my back door\n\nby their shoulders\n\nto push them into a half-circle\n\nand a prayer. \n\nShould have made them\n\ntake turns digging the hole,\n\neach one of their pudgy hands\n\nfinger stiff red's box\n\nto lower it to the ground. \n\nIt wasn't my place\n\nto teach other women's children\n\nabout death, so my own son\n\nsnuck the shoe box\n\ninto his backpack,\n\ndead-eyed bird rolling\n\nlike a plastic prize ball,\n\ntold the principal\n\nthis cold puff\n\nof field bird\n\nhad been his pet. \n\nSee him\n\nclutching a coffin\n\nthe size of his feet,\n\neyes wide over a pout,\n\ngiving a man a reason\n\ngood enough to hold him. \n\n                                                        after Louise Glück",Jonterri Gadson,"Living,Death,Parenthood,Nature,Animals",1
Glossary of Selected Terms,"What is skin,\n\nif not a taut swaddle\n\nloosening, body\n\nif not a warm swaddle\n\ncooling, blood\n\nif not thread\n\nin a swaddle\n\nmade of body, horizons\n\nif not lines\n\nwhere sky swaddles\n\nEarth. See father.Stars, if not swaddled\n\nmatter emitting light. See spirit.Wind, if it does not trace\n\npaths around bodies. See blood.Universe, if not outermost\n\nconcentric circle. See mother.\n\nA kiss, if not mouths pressed\n\ninto wet twists, taste\n\nif not flavor swaddling \n\ntongue, father\n\nif not the option\n\nto swaddle, spirit\n\nif not the smallest unit\n\nof the swaddled, mother\n\nif not hips\n\nswaddling womb. See skin.\n\nSee body. See wind. See universe. See blood.\n\n                                                                \u200bafter Nin Andrews",Jonterri Gadson,"Living,The Body,Religion,The Spiritual",1
"Girl, 11","A mouth is a sideways woman,\n\nher curves and dips, the way she opens,\n\nhow her hollow center can sing.\n\nMother, your mouth\n\nis a fallen cello,\n\nyour husband's hands—\n\na casket. Full of me. ",Jonterri Gadson,"Living,Coming of Age,Relationships,Family & Ancestors",0
Patricide Epistle,"II. \n\nThe first time I had you killed\n\nI made you a hero of the Vietnam War. \n\nThe third grade social studies textbook said\n\nyoung foreign boys hid grenades \n\nduring corner games, seamstresses doubled\n\nas spies. Why wouldn't you have died\n\non those streets, clutching my mother's\n\nphoto with your thumb pressed cold \n\nagainst her belly, wishing you'd had a chance \n\nto propose, hoping for a girl? But that war\n\nended before I was born. Next,\n\nI had a drunk driver end you. Said I visited him\n\nin prison to spit in his face. Forgave him\n\nfor a speech during health class. In eighth grade,\n\nI made you die young of natural causes,\n\nso I could teach a grieving classmate\n\nthe proper way to mourn. ",Jonterri Gadson,"Living,Sorrow & Grieving,Relationships,Family & Ancestors",1
The Bomb Shelter,"When bombs are exploding outside, \n\nit means that there are implosions. \n\nVibrations travel through air and liquid.\n\nMy amniotic fluid is imprinted with airplanes\n\ndropping bombs and screams and fire. \n\nIn the bomb shelter in Saigon, \n\nmy father teaches my two-year-old\n\nbrother French. ""Je m\'appelle Chuc Nai Dat.""\n\n""Je m\'appelle…""",Teresa Mei Chuc,"Relationships,Family & Ancestors,Social Commentaries,War & Conflict",1
Not Worth a Bullet,"A bullet is made of\n\ncopper or lead. \n\nGunpowder is\n\npoured into the case. \n\nThe firing pin hits the\n\nprimer at the back of\n\nthe bullet which starts\n\nthe explosion.  Altogether, \n\nthe bullet and the case are\n\ntypically about two inches in length\n\nand weigh a few ounces.\n\nMy father said that\n\nthe Vietcongs\n\ntold him and the other \n\nprisoners while in \n\n""re-education"" camp\n\nthat they were not worth a bullet.\n\nThey would work for the Vietcongs\n\nand then die.\n\nA bamboo tree is smooth, long\n\nwith roots that hold the earth \n\nwith the strong grip of green\n\nknuckles and fingers.\n\nThey are used to build houses,\n\nfences, etc.\n\nA bamboo tree can weigh sixty pounds\n\nor more and be twenty feet tall. \n\nThe prisoners were forced to\n\nwalk barefoot up the mountains\n\nand carry bamboo back to the camp.\n\nDue to the weight of the bamboo,\n\nthey were only able to carry one\n\nat a time.",Teresa Mei Chuc,"Social Commentaries,Money & Economics,War & Conflict",3
Chinese Female Kung-Fu Superheroes,"are real. They jump from roof-top\n\nto roof-top, do a backward flip\n\ndown to the concrete floor and land\n\nperfectly on two feet. \n\nThe metal of swords clang,\n\nthe body moves with the precision\n\nof a praying mantis striking \n\nits prey.\n\nTheir dresses are colorful, long\n\nand lacy, billow and flair\n\nwith each turn and twist. \n\nJewelry in the hair dangles and sparkles.\n\nChinese female kung-fu superheroes\n\nare smart, fight bad guys, do good deeds,\n\nand risk their lives.\n\nThey appear when least expected.\n\nChinese female kung-fu superheroes\n\nnever give up. They travel often alone\n\nby foot through mountains. They work hard\n\ntraining to master various martial arts forms.\n\nThey do not care about Barbies,\n\nthose plastic dolls of only one hair color\n\nthat just looked pretty in the 80's. They aren't\n\nimpressed; they do not want a boring life. \n\nChinese female kung-fu superheroes venture out\n\nand save cities against villains. They steal into the night\n\nin their black ninja-like suits, soundlessly through a house\n\nto recover a magical sword and to release a prisoner,\n\nknowing exactly where to press with their two fingertips\n\nto freeze the guards and to accomplish their mission. \n\n                                                                            After Jeannine Hall Gailey's",Teresa Mei Chuc,"Mythology & Folklore,Heroes & Patriotism",2
My Doggy Ate My Essay,"My doggy ate my essay.\n\nHe picked up all my mail.\n\nHe cleaned my dirty closet\n\nand dusted with his tail.\n\n \n\nHe straightened out my posters\n\nand swept my wooden floor.\n\nMy parents almost fainted\n\nwhen he fixed my bedroom door.\n\n \n\nI did not try to stop him.\n\nHe made my windows shine.\n\nMy room looked like a palace,\n\nand my dresser smelled like pine.\n\n \n\nHe fluffed up every pillow.\n\nHe folded all my clothes.\n\nHe even cleaned my fish tank\n\nwith a toothbrush and a hose.\n\n \n\nI thought it was amazing\n\nto see him use a broom.\n\nI’m glad he ate my essay\n\non “How to Clean My Room.”\n\n ",Darren Sardelli,"Living,Youth,Activities,School & Learning,Relationships,Pets",1
The Letter A,"The letter A is awesome!\n\nIt simply is the best.\n\nWithout an A, you could not get\n\nan A+ on a test.\n\nYou’d never see an acrobat\n\nor eat an apple pie.\n\nYou couldn’t be an astronaut\n\nor kiss your aunt goodbye.\n\nAn antelope would not exist.\n\nAn ape would be unknown.\n\nYou’d never hear a person\n\nsay “Afraid” or “All Alone”.\n\nThe A’s in avocado\n\nwould completely disappear\n\nand certain words would be forgot\n\nlike “ankle”, “arm”, and “ear”.\n\n \n\nWithout the A, you couldn’t aim\n\nan arrow in the air.\n\nYou wouldn’t ask for apricots\n\nor almonds at a fair.\n\nAruba and Australia\n\nwould be missing from a map.\n\nYou’d never use an ATM,\n\nan apron, or an app.\n\nThe arctic fox and aardvark\n\nwould be absent from the zoo,\n\nand vowels, as you know them,\n\nwould be E, I, O, and U.\n\nThere wouldn’t be an A chord\n\non the instruments you play.\n\nLet’s appreciate, admire,\n\nand applaud the letter A!\n\n ",Darren Sardelli,,0
"Recess! Oh, Recess!","Recess! Oh, Recess!\n\nWe love you! You rule!\n\nYou keep us away\n\nfrom the teachers in school.\n\nYour swings are refreshing.\n\nYour slides are the best.\n\nYou give us a break\n\nfrom a really hard test.\n\n \n\nRecess! Oh, Recess!\n\nWe want you to know,\n\nyou’re sweeter than syrup,\n\nyou’re special like snow.\n\nYou don’t assign homework.\n\nYou make the day fun.\n\nYou let us play kickball\n\nand run in the sun.\n\n \n\nRecess! Oh, Recess!\n\nYou’re first on our list.\n\nWe’d be in despair\n\nif you didn’t exist.\n\nWe’re happy we have you.\n\nYou’re awesome and cool.\n\nRecess! Oh, Recess!\n\nWe love you! You rule!\n\n ",Darren Sardelli,"Living,Youth,Activities,School & Learning",4
Our Grandma Kissed a Pumpkin,Our grandma kissed a pumpkin\n\non a Friday afternoon.\n\nShe also kissed a crayon\n\nand a giant red balloon.\n\nI saw her kiss a chipmunk\n\neating cookies with a queen.\n\nShe kissed us in these costumes\n\nat our house on Halloween!\n\n ,Darren Sardelli,Halloween,5
The Silliest Teacher in School,"Our teacher gave detention\n\nto the fountains in the hall.\n\nShe handed extra homework\n\nto the artwork on the wall.\n\n \n\nWe saw her point a finger\n\nat a banner and a sign.\n\nShe said their bad behavior\n\nwas completely out of line.\n\n \n\nThe principal approached her\n\nand said, “What is all this fuss?\n\nI heard you tried to punish\n\nall the tires on a bus.\n\n \n\n“You’ve made the teachers angry\n\nby disrupting all their classes,\n\nso if you want to keep this job,\n\nyou have to wear your glasses!”\n\n ",Darren Sardelli,"Living,Youth,Activities,School & Learning",1
Saving Nails,"I strip the porch roof, pick out the used\n\nnails, and toss the shingles down onto\n\n \n\na drop cloth, remembering when I shingled\n\nmy grandmother's roof fifty years ago:\n\n \n\nthe tar smell, the brackets, planks, and\n\nladders all the same, but level now\n\n \n\nwith hemlock limbs instead of locust.\n\nI lug four shingles up the ladder, kneel\n\n \n\nand drive the old nails home, slide\n\nanother shingle into place, pound,\n\n \n\ntoes bent, knees creaking. Miserliness,\n\na friend jokes about the nails, but I call it\n\n caring, thinking of the man who gave\n\nus this land on the cove, the cottage, the boat-\n\n \n\nhouse full of boats. The only time I saw\n\nhim he was at his work bench, a rich\n\n \n\nman straightening nails, moving from\n\nthe bent can to the anvil to the straight.",Thomas R. Moore,,0
Bird,"For days now a red-breasted bird\n\nhas been trying to break in.\n\nShe tests a low branch, violet blossoms\n\nswaying beside her, leaps into the air and flies\n\nstraight at my window, beak and breast\n\nheld back, claws raking the pane.\n\nMaybe she longs for the tree she sees\n\nreflected in the glass, but I'm only guessing.\n\nI watch until she gives up and swoops off.\n\nI wait for her return, the familiar\n\nclick, swoosh, thump of her. I sip cold coffee\n\nand scan the room, trying to see it new,\n\nthrough the eyes of a bird. Nothing has changed.\n\nBooks piled in a corner, coats hooked\n\nover chair backs, paper plates, a cup\n\nhalf-filled with sour milk.\n\nThe children are in school. The man is at work.\n\nI'm alone with dead roses in a jam jar.\n\nWhat do I have that she could want enough\n\nto risk such failure, again and again?\n\n ",Dorianne Laux,,0
